"year","month","temperature"
"1990","jul",16.9
"1991","jul",17.3
"1992","jul",16.2
"1993","jul",15.2
"1994","jul",18
"1995","jul",18.6
"1996","jul",16.5
"1997","jul",16.7
"1998","jul",15.5
"1999","jul",17.7
"2000","jul",15.5
"2001","jul",17.2
"2002","jul",16
"2003","jul",17.6
"2004","jul",15.8
"2005","jul",16.9
"2006","jul",19.7
"2007","jul",15.2
"2008","jul",16.2
"2009","jul",16.1
"2010","jul",17.1
"2011","jul",15.2
"2012","jul",15.5
"2013","jul",18.3
"2014","jul",17.7
"2015","jul",15.9
"2016","jul",16.9
"1976","aug",17.6
"1977","aug",15.2
"1978","aug",15
"1979","aug",14.9
"1980","aug",15.9
"1981","aug",16.2
"1982","aug",15.7
"1983","aug",17.3
"1984","aug",17.6
"1985","aug",14.6
"1986","aug",13.7
"1987","aug",15.6
"1988","aug",15.2
"1989","aug",16.6
"1990","aug",18
"1991","aug",17.1
"1992","aug",15.3
"1993","aug",14.6
"1994","aug",16
"1995","aug",19.2
"1996","aug",16.5
"1997","aug",18.9
"1998","aug",15.9
"1999","aug",16.1
"2000","aug",16.6
"2001","aug",16.8
"2002","aug",17
"2003","aug",18.3
"2004","aug",17.6
"2005","aug",16.2
"2006","aug",16.1
"2007","aug",15.4
"2008","aug",16.2
"2009","aug",16.6
"2010","aug",15.3
"2011","aug",15.4
"2012","aug",16.6
"2013","aug",16.9
"2014","aug",14.9
"2015","aug",15.9
"2016","aug",17
"1976","sep",13.4
"1977","sep",13.3
"1978","sep",14.2
"1979","sep",13.5
"1980","sep",14.7
"1981","sep",14.5
"1982","sep",14.2
"1983","sep",13.7
"1984","sep",13.7
"1985","sep",14.6
"1986","sep",11.3
"1987","sep",13.6
"1988","sep",13.2
"1989","sep",14.7
"1990","sep",13.2
"1991","sep",14.7
"1992","sep",13.4
"1993","sep",12.4
"1994","sep",12.7
"1995","sep",13.7
"1996","sep",13.6
"1997","sep",14.2
"1998","sep",14.9
"1999","sep",15.6
"2000","sep",14.7
"2001","sep",13.4
"2002","sep",14.4
"2003","sep",14.3
"2004","sep",14.9
"2005","sep",15.2
"2006","sep",16.8
"2007","sep",13.8
"2008","sep",13.5
"2009","sep",14.2
"2010","sep",13.8
"2011","sep",15.1
"2012","sep",13
"2013","sep",13.7
"2014","sep",15.1
"2015","sep",12.6
"2016","sep",16
"1976","oct",10.6
"1977","oct",11.8
"1978","oct",11.9
"1979","oct",11.3
"1980","oct",9
"1981","oct",8.6
"1982","oct",10.1
"1983","oct",10.5
"1984","oct",11.1
"1985","oct",11
"1986","oct",11
"1987","oct",9.7
"1988","oct",10.4
"1989","oct",11.7
"1990","oct",11.9
"1991","oct",10.2
"1992","oct",7.8
"1993","oct",8.5
"1994","oct",10.2
"1995","oct",12.9
"1996","oct",11.7
"1997","oct",10.2
"1998","oct",10.6
"1999","oct",10.7
"2000","oct",10.3
"2001","oct",13.3
"2002","oct",10.1
"2003","oct",9.2
"2004","oct",10.5
"2005","oct",13.1
"2006","oct",13
"2007","oct",10.9
"2008","oct",9.7
"2009","oct",11.6
"2010","oct",10.3
"2011","oct",12.6
"2012","oct",9.7
"2013","oct",12.5
"2014","oct",12.5
"2015","oct",11
"2016","oct",10.9
"1976","nov",6.3
"1977","nov",6.6
"1978","nov",8.5
"1979","nov",6.8
"1980","nov",6.6
"1981","nov",7.8
"1982","nov",8
"1983","nov",7.5
"1984","nov",8
"1985","nov",4.1
"1986","nov",7.8
"1987","nov",6.5
"1988","nov",5.2
"1989","nov",6.2
"1990","nov",6.9
"1991","nov",6.8
"1992","nov",7.4
"1993","nov",4.6
"1994","nov",10.1
"1995","nov",7.7
"1996","nov",5.9
"1997","nov",8.4
"1998","nov",6.2
"1999","nov",7.9
"2000","nov",7
"2001","nov",7.5
"2002","nov",8.5
"2003","nov",8.1
"2004","nov",7.7
"2005","nov",6.2
"2006","nov",8.1
"2007","nov",7.3
"2008","nov",7
"2009","nov",8.7
"2010","nov",5.2
"2011","nov",9.6
"2012","nov",6.8
"2013","nov",6.2
"2014","nov",8.6
"2015","nov",9.5
"2016","nov",5.6
"1976","dec",2
"1977","dec",6.1
"1978","dec",3.9
"1979","dec",5.8
"1980","dec",5.6
"1981","dec",0.3
"1982","dec",4.4
"1983","dec",5.6
"1984","dec",5.2
"1985","dec",6.3
"1986","dec",6.2
"1987","dec",5.6
"1988","dec",7.5
"1989","dec",4.9
"1990","dec",4.3
"1991","dec",4.7
"1992","dec",3.6
"1993","dec",5.5
"1994","dec",6.4
"1995","dec",2.3
"1996","dec",2.9
"1997","dec",5.8
"1998","dec",5.5
"1999","dec",5
"2000","dec",5.8
"2001","dec",3.6
"2002","dec",5.7
"2003","dec",4.8
"2004","dec",5.4
"2005","dec",4.4
"2006","dec",6.5
"2007","dec",4.9
"2008","dec",3.5
"2009","dec",3.1
"2010","dec",-0.7
"2011","dec",6
"2012","dec",4.8
"2013","dec",6.3
"2014","dec",5.2
"2015","dec",9.7
"2016","dec",6
