"mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","year","spp"
0.254274002005409,0.023996846891303,0.210321351923706,0.23741099219716,0.253357779388564,0.269674099972996,0.306513736693245,1.00209004916356,1400,1982,"Thymelicus lineola"
0.224588996838419,0.0221716918795368,0.184610355462698,0.209397518441138,0.223652979718302,0.238505379553433,0.271607043874984,1.00459429953703,520,1983,"Thymelicus lineola"
0.227631342362406,0.0176457043155359,0.195568441848235,0.215011583450589,0.226836652027459,0.239187595048253,0.264031609317927,1.0161948450549,130,1984,"Thymelicus lineola"
0.240898365900236,0.0184286034473506,0.204622009977402,0.228257934308333,0.240878920962492,0.253428843502608,0.276979490896687,1.00851490971571,450,1985,"Thymelicus lineola"
0.217667315184613,0.0182625254713862,0.18279111414318,0.205034181838855,0.217626742847397,0.23009138845066,0.253940505123723,1.00272957682729,990,1986,"Thymelicus lineola"
0.236726557103338,0.0169790721625719,0.204351966344036,0.22469051578334,0.236416094600549,0.248511206810785,0.270910615557356,1.01428170951533,150,1987,"Thymelicus lineola"
0.249874824989521,0.0187755712917473,0.213263406245114,0.236686138233915,0.250202532725025,0.262539262923009,0.28651629500135,1.00315676028782,820,1988,"Thymelicus lineola"
0.277213512228693,0.0182222271127439,0.24168905186259,0.264927017154877,0.277775408973976,0.289742605778934,0.311658778550008,1.00890987264384,250,1989,"Thymelicus lineola"
0.302859378663644,0.0185537604918733,0.26725792009551,0.290083713526343,0.302704700180503,0.314771386745121,0.34136357822027,1.01464475983191,170,1990,"Thymelicus lineola"
0.357723583127716,0.0146211386787278,0.329922255859236,0.347517730496454,0.357338791057292,0.36738725678307,0.387569465171478,1.00653992355721,340,1991,"Thymelicus lineola"
0.361361883878998,0.0127759749039535,0.33630381330036,0.353060731391862,0.36164527636834,0.369760798192129,0.386602993220484,1.00519953685439,850,1992,"Thymelicus lineola"
0.335202792725043,0.0139872196048898,0.308844639633878,0.325331514092014,0.335138361830043,0.344888358276837,0.363166048408874,1.00083788924881,5000,1993,"Thymelicus lineola"
0.347912657125193,0.0118389654397157,0.324791426825282,0.339871231825353,0.348043604940377,0.355832231839566,0.371068377890533,1.00575830297351,400,1994,"Thymelicus lineola"
0.386461862533049,0.00949389742364102,0.367827854290141,0.380093520374082,0.386560354752057,0.392870848079137,0.404695916656007,1.01156927854564,190,1995,"Thymelicus lineola"
0.386466222155162,0.00857094372752023,0.370258246990435,0.380747310223283,0.38641822652397,0.39227390952117,0.403303060020751,1.00671845093351,460,1996,"Thymelicus lineola"
0.42564693332031,0.0085797746657725,0.408931337853011,0.419860998592931,0.425801958526983,0.431629215878566,0.442516238150059,1.00866402696726,260,1997,"Thymelicus lineola"
0.414976209692754,0.008506943732997,0.398086954049944,0.409514063588169,0.414943361901107,0.420784832075498,0.43147287482767,1.00092541874108,5000,1998,"Thymelicus lineola"
0.434708424934777,0.00924659824713777,0.416634687815347,0.42831762816413,0.434784462542106,0.440981253286715,0.45309057831976,1.00153166697089,5000,1999,"Thymelicus lineola"
0.391848295017868,0.00929205927484152,0.374465242541821,0.385437541750167,0.391605906849159,0.397973251467474,0.410722153526912,1.02515311492572,88,2000,"Thymelicus lineola"
