"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
4,2002,85,108,135,112.163198975012,50
4,2003,87,113,127,112.664406779035,40
4,2004,90,118,139,117.600629546316,49
4,2005,89,117,137,116.794797396058,48
4,2006,89,108,138,114.177860984275,49
4,2007,89,107,129,112.632972267113,40
4,2008,85,114,136,114.600873003485,51
4,2009,85,109,127,111.093714890168,42
4,2011,84,110,136,111.270440281233,52
4,2013,99,118,137,120.643160149183,38
4,2014,74,103,131,106.245416314817,57
4,2015,90,109,120,109.448246746214,30
5,1976,86,106,126,107.2933073634,40
6,1976,85,107,120,106.098133531112,35
6,1977,102,125,158,130.872320230104,56
6,1978,98,123,139,124.033452710708,41
6,1979,95,117,132,117.648219275849,37
6,1980,90,112,135,114.337805915038,45
6,1981,101,116,146,124.245649922524,45
6,1982,96,114,120,114.256292953318,24
6,1983,103,113,130,118.646664102633,27
6,1984,86,110,130,113.071762197912,44
6,1985,99,123,151,127.728746148076,52
6,1986,99,113,146,118.687499971768,47
6,1987,93,114,134,118.358998299096,41
6,1988,98,124,146,124.940408189325,48
6,1989,78,93,118,99.9938102948667,40
6,1990,90,98,123,105.085289995797,33
6,1991,96,117,147,122.455773175342,51
6,1992,83,105,120,105.453041596118,37
6,1993,93,109,130,116.711330521872,37
6,1994,91,102,119,105.027601938642,28
6,1995,89,103,123,109.156900734806,34
6,1996,99,115,130,118.450725599439,31
6,1997,95,113,136,119.785167898046,41
6,1998,94,115,141,121.225026082131,47
6,1999,100,121,142,123.612139466477,42
6,2000,95,116,152,121.52493349537,57
6,2001,93,122,149,125.600016627454,56
6,2002,102,128,155,132.294934271939,53
6,2003,95,109,129,114.607249853595,34
6,2004,86,104,120,107.925049389216,34
6,2005,88,109,140,115.534254971576,52
6,2006,90,108,136,113.472205296666,46
6,2007,97,109,151,118.38392002393,54
6,2008,92,115,136,118.507441886168,44
6,2009,80,121,165,125.837333571507,85
6,2013,87,135,172,133.070340166959,85
6,2014,85,106,141,112.056086956298,56
6,2015,92,113,128,114.185346453085,36
7,1976,81,93,116,101.259707183193,35
7,1977,94,107,134,115.596127681542,40
7,1978,95,105,120,108.950520719252,25
7,1979,92,112,133,115.079566035583,41
7,1980,96,115,138,117.659670320131,42
7,1981,88,113,130,112.992491680072,42
7,1982,78,111,123,109.915056917432,45
7,1983,96,103,123,109.569665964662,27
7,1984,79,95,115,99.7008799552522,36
7,1985,93,101,151,114.591518414431,58
8,1976,82,101,137,110.914540527827,55
8,1977,106,135,156,138.458777329564,50
8,1978,100,130,156,132.377702409325,56
8,1979,103,127,158,132.104839258886,55
8,1980,111,146,166,142.092065616638,55
8,1981,110,138,158,138.444094967426,48
8,1982,91,130,153,128.152556010478,62
8,1983,101,122,145,126.706380942197,44
8,1984,99,127,155,130.355399634621,56
8,1985,112,148,168,147.036662625392,56
8,1986,112,144,162,142.350220353374,50
8,1987,119,142,168,146.239239587912,49
8,1988,102,137,162,139.896274472133,60
8,1989,85,124,142,124.216296660046,57
8,1990,108,135,158,138.160685540684,50
8,1991,119,136,158,141.011560851593,39
8,1992,111,128,151,133.42903811833,40
8,1993,109,144,158,140.73771404792,49
8,1994,103,130,155,133.577606392551,52
8,1995,110,131,141,129.616296766849,31
8,1996,116,136,158,137.985612586075,42
8,1997,110,130,161,134.922113052606,51
8,1998,124,140,158,144.725021152696,34
8,1999,115,135,155,137.007792198401,40
8,2000,113,141,156,142.281127104503,43
8,2001,117,143,165,142.840934458295,48
8,2002,117,143,164,144.521386007758,47
8,2003,115,138,157,137.127975941783,42
8,2004,120,136,157,139.088032616092,37
8,2005,106,138,162,137.037307378956,56
8,2006,109,139,170,140.934199500173,61
8,2007,119,147,164,148.315226905068,45
8,2008,111,137,166,141.714755951905,55
8,2009,94,141,164,139.045232323584,70
8,2011,102,139,162,137.982893916544,60
8,2013,106,142,165,141.26935731506,59
8,2014,85,123,156,125.99422970695,71
8,2015,94,137,160,134.375879003214,66
9,1976,85,118,137,115.381673181892,52
9,1977,102,126,151,130.752851706762,49
9,1978,95,116,149,122.036324945476,54
9,1979,101,126,142,126.707569994875,41
9,1980,102,132,152,132.426051237154,50
9,1981,111,130,157,135.672230951018,46
9,1982,99,130,151,128.675724113165,52
9,1983,99,120,145,124.976477281451,46
9,1984,104,130,149,128.088655599398,45
9,1985,111,128,149,131.806776458285,38
9,1986,100,132,155,133.235827641598,55
9,1987,100,137,153,134.407154776208,53
9,1988,109,137,159,138.608386373204,50
9,1989,93,120,141,125.08924565087,48
9,1990,106,128,148,130.685228600605,42
9,1991,117,135,156,139.008529999277,39
9,1992,107,131,151,133.056068711046,44
9,1993,99,132,148,131.580383402426,49
9,1994,101,128,152,129.085623903475,51
9,1995,100,121,144,126.901815729832,44
9,1996,110,129,148,131.295307352469,38
9,1997,111,131,148,132.17621272927,37
9,1998,115,134,152,136.233606153395,37
9,1999,102,128,153,130.420104780704,51
9,2000,108,127,149,132.824011651059,41
9,2001,107,136,157,136.497043898357,50
9,2002,113,139,156,142.470461816652,43
9,2003,106,132,152,133.382741821697,46
9,2004,104,128,143,130.00555184737,39
9,2005,102,131,155,133.12548886331,53
9,2006,102,127,159,132.616892267857,57
9,2007,104,146,165,141.410040949054,61
9,2008,112,137,158,137.577503128336,46
9,2009,95,140,157,135.752873722896,62
9,2011,102,132,155,134.641592175743,53
9,2013,106,132,156,134.719863739606,50
9,2014,86,121,145,121.669023062182,59
9,2015,91,122,154,123.296828902914,63
10,1976,92,117,137,118.194369095899,45
10,1977,111,130,150,132.826426522497,39
10,1978,108,137,165,139.991262892194,57
10,1979,111,130,157,136.44873072234,46
10,1980,117,137,148,137.796500610544,31
10,1981,106,132,148,135.019316074996,42
