"year","site","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range","buffer","Surv","POINT_X","POINT_Y","EASTNESS_MEAN","EASTNESS_STD","SLOPE_MEAN","SLOPE_STD","NORTHNESS_MEAN","NORTHNESS_STD","DEM_MEAN","DEM_STD","shannon.soil","dom.soil.type","joint.dom.soil.type","A","BgRo","Br","BW","C","CW","F","G","H","M","S","R","UG","NP_A","NP_BgRo","NP_Br","NP_BW","NP_C","NP_CW","NP_F","NP_G","NP_H","NP_M","NP_S","NP_R","NP_UG","ED_A","ED_BgRo","ED_Br","ED_BW","ED_C","ED_CW","ED_F","ED_G","ED_H","ED_M","ED_S","ED_R","ED_UG","SHP_A","SHP_BgRo","SHP_Br","SHP_BW","SHP_C","SHP_CW","SHP_F","SHP_G","SHP_H","SHP_M","SHP_S","SHP_R","SHP_UG","end.lcm","LC","LM","NG","UDG","NP_LC","SHP_LC","ED_LC","NP_LM","SHP_LM","ED_LM","NP_UDG","SHP_UDG","ED_UDG","NP_NG","SHP_NG","ED_NG","LCper","DJF","MAM","JJA","SON","AV"
1976,2,86,112,128,111.392627786497,42,500,"UKBMS",520356,279441,0.3,0.53,0.91,1.3,0.23,0.76,23.72234988,17.30169979,0,18,NA,506875,0,0,42500,0,101250,0,139375,0,0,0,0,0,3,0,0,3,0,3,0,3,0,0,0,0,0,79.0569,0,0,276.5528,0,94.4517,0,203.648,0,0,0,0,0,1.2279,0,0,1.1888,0,1.4743,0,1.4928,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,34,87,102,116,103.074542867536,29,500,"UKBMS",525203,250147,0.22,0.67,0.71,0.42,0.13,0.7,43.20955407,16.42360291,0,21,NA,128750,0,0,473125,0,160000,0,12500,0,0,0,0,15625,3,0,0,1,0,1,0,1,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,1.8645,0,0,2.4286,0,1.6563,0,1.2222,0,0,0,0,1.3,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,16,85,101,120,105.76024485311,35,500,"UKBMS",401989,81119,0.04,0.65,10.88,5.87,-0.27,0.72,52.95966207,44.9921464,0,1,NA,316250,0,0,78125,0,0,0,395625,0,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,57.3607,0,0,225.9007,0,0,0,97.8553,0,0,0,0,0,1.6675,0,0,1.625,0,0,0,1.4655,0,0,0,0,0,NA,151875,0,790000,0,4,1.6364,79.2858,0,0,0,0,0,0,0,0,0,19.3373255856653,5.2,8.3,17.8,10.1,10.35
1976,4,86,98,118,102.105776449046,32,500,"UKBMS",519803,280189,0.08,0.43,2.19,2.08,0.87,0.22,24.99227837,18.63596374,0,23,NA,1875,0,0,670625,0,8125,0,71875,0,0,0,0,37500,1,0,0,1,0,3,0,5,0,0,0,0,1,0,0,0,0,0,82.7509,0,265.4164,0,0,0,0,0,1.25,0,0,1.7273,0,1.1429,0,1.189,0,0,0,0,1.5,NA,0,0,790000,638750,1,1.1111,0,0,0,0,1,1.3438,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,21,82,87,108,95.4138385468902,26,500,"UKBMS",511830,301869,0.52,0.43,0.9,0.48,0,0.74,24.3432315,18.78998017,0,2,NA,147500,0,0,360625,0,0,0,241250,0,0,0,0,40625,2,0,0,1,0,0,0,4,0,0,0,0,1,650.4806,0,0,0,0,0,0,126.3194,0,0,0,0,0,1.9608,0,0,2.0612,0,0,0,1.4564,0,0,0,0,1.2941,NA,39375,0,790000,0,4,1.1429,50,0,0,0,0,0,0,0,0,0,5.0133807073947,5.2,8.3,17.8,10.1,10.35
1976,27,82,105,116,104.746787905906,34,500,"UKBMS",520291,289237,0.15,0.71,0.17,0.11,-0.12,0.68,14.86811552,17.55142177,0,11,NA,144375,0,0,523750,0,0,45625,76250,0,0,0,0,0,2,0,0,2,0,0,1,2,0,0,0,0,0,201.5564,0,0,103.0776,0,0,0,70.7107,0,0,0,0,0,1.5917,0,0,1.7328,0,0,1.1667,1.4561,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,12,79,86,107,92.5531638925443,28,500,"UKBMS",582785,185172,0.13,0.54,17.68,19.9,-0.16,0.82,20.86455906,18.74075287,0,9,NA,138125,0,0,0,327500,0,0,316875,0,0,0,0,7500,2,0,0,0,3,0,0,1,0,0,0,0,1,90.1388,0,0,0,142.1282,0,0,0,0,0,0,0,0,1.8669,0,0,0,1.4889,0,0,1.413,0,0,0,0,1.2857,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,32,82,96,124,101.968421093512,42,500,"UKBMS",607735,145126,-0.51,0.58,9.92,7.42,-0.32,0.55,90.87860854,42.67712639,0,1,NA,461250,0,0,19375,0,0,0,305000,0,0,0,0,4375,3,0,0,2,0,0,0,4,0,0,0,0,1,102.0518,0,0,201.5564,0,0,0,178.9321,0,0,0,0,0,1.5449,0,0,1.2614,0,0,0,1.8006,0,0,0,0,1,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,3,83,95,117,101.564582740064,34,500,"UKBMS",587322,345348,-0.24,0.5,8.22,15.57,0.21,0.81,32.13106432,21.00900912,0,5,NA,471875,0,0,55625,13125,126875,0,101875,0,0,0,20625,0,3,0,0,2,2,2,0,3,0,0,0,2,0,88.8071,0,0,506.2114,651.9202,103.0776,0,354.3581,0,0,0,665.6763,0,1.4993,0,0,1.2375,1.2083,1.2931,0,1.336,0,0,0,1.2364,0,NA,0,406250,790000,0,1,1.1111,0,2,1.472,50,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,10,92,117,137,118.194369095899,45,500,"UKBMS",251197,187741,0.32,0.46,7.99,13.07,-0.68,0.48,65.76724114,34.13502398,0,4,NA,140625,0,0,0,625,0,0,615625,10000,0,0,0,23125,4,0,0,0,1,0,0,3,1,0,0,0,2,294.5797,0,0,0,0,0,0,76.3523,0,0,0,0,176.7767,1.3037,0,0,0,1,0,0,1.5288,1.375,0,0,0,1.0556,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
