SITENO,GRIDREF,EAST,NORTH,LATITUDE,LONGITUDE,LENGTH,COUNTRY,COUNTY,HABITAT1,HABITAT2
54,SO600090,360000,209000,51.777785183757,-2.57985266041696,3428,England,Gloucestershire,Mature broadleaved woodland,32
55,NS4387,243000,687000,56.0501233522814,-4.52113734521836,2034,Scotland,Strathclyde,Missing,
56,SU760170,476000,117000,50.9468735258677,-0.918027936716558,,England,West Sussex,Missing,
57,SJ050160,305000,316000,52.7329417177421,-3.40708584940346,,Wales,Powys,Missing,
58,SP050000,405000,200000,51.6982635299177,-1.92764581556828,3272,England,Oxfordshire,Missing,25
59,TL750880,575000,288000,52.4614893515411,0.576183196293303,3037,England,Norfolk,Dry semi/unimproved acid grassland,30
60,NU130430,413000,643000,55.6803219510435,-1.79324221295586,3000,England,Northumberland,Coastal dune grassland,-2
61,NH810010,281000,801000,57.084772420198,-3.9637305872809,3482,Scotland,Highland,Seasonally wet and wet marshy grasslands,10
62,TQ780760,578000,176000,51.4544680960002,0.56225493420806,1998,England,Kent,Dry scrub/shrub thickets,22
63,SE460270,446000,427000,53.737133361086,-1.30255433387083,4087,England,North Yorkshire,Missing,-2
64,SM73800520,173800,205200,51.699419488471,-5.27379846015677,1270,Wales,Dyfed,Dry semi/unimproved acid grassland,
65,TL230840,523000,284000,52.4397353642982,-0.190282765696341,3940,England,Cambridgeshire,Mature broadleaved woodland,-2
66,NO500270,350000,727000,56.4326431299428,-2.81086545716415,4187,Scotland,Fife,Coastal dune grassland,
67,SD48017243,348010,472430,54.1448925613991,-2.79599180464616,2384,England,Lancashire,Missing,-2
68,TM460670,646000,267000,52.2456984805306,1.60406551703063,3287,England,Suffolk,Wet and dry heathland/ dry heather moorland,-2
69,TF710440,571000,344000,52.9657410784375,0.546501291026321,2035,England,Norfolk,Coastal dune grassland,-2
70,SH420640,242000,364000,53.1493792545604,-4.36290773272297,2141,Wales,Anglesey,Coastal dune grassland,
71,TQ370070,537000,107000,50.8457211571289,-0.0537717808328728,2739,England,East Sussex,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
72,SD4777,347000,477000,54.1858624944159,-2.81225781234877,1400,England,Lancashire,Mature broadleaved woodland,17
73,SD380770,338000,477000,54.1848536062544,-2.95016893739115,1372,England,Cumbria,Agriculturally improved/re-seeded/ heavily fertilised grassland,18
74,SP840340,484000,234000,51.9976567894087,-0.776335636345317,,England,Buckinghamshire,Missing,
75,TL740720,574000,272000,52.3180939739377,0.55316699625704,,England,Suffolk,Missing,
76,TL560700,556000,270000,52.3055370756674,0.288360791139085,3647,England,Cambridgeshire,Wet Willow scrub of fen, river and lake side,-2
77,NO460260,346000,726000,56.4232183021377,-2.87551998823221,2958,Scotland,Fife,Mature mixed broadleaved and coniferous woodland,
78,NO130900,313000,790000,56.9931360941749,-3.43208478731291,3776,Scotland,Grampian,Wet and dry heathland/ dry heather moorland,
79,NO7463,374000,763000,56.7580226899697,-2.42528520439607,3423,Scotland,Grampian,Coastal dune grassland,
80,TR030490,603000,149000,51.2035664991652,0.906269852223145,,England,Kent,Missing,
81,SH210810,221000,381000,53.2953984745532,-4.68615289599563,3256,Wales,Anglesey,Missing,
82,SH220800,222000,380000,53.2867553039072,-4.6706038805436,2290,Wales,Anglesey,Missing,2
83,SU110630,411000,163000,51.3654583020125,-1.84197723968254,2017,England,Wiltshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
84,SU410238,441000,123800,51.0115779528934,-1.41549775926309,1532,England,Hampshire,Mature mixed broadleaved and coniferous woodland,32
85,SK1865,418000,365000,53.1815078046006,-1.73062797169098,4770,England,Derbyshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,26
86,SU580330,458000,133000,51.0928431958416,-1.17169171022325,3868,England,Hampshire,Intensive arable crops,25
87,NK020270,402000,827000,57.3337342839363,-1.96677586595673,5674,Scotland,Grampian,Coastal dune grassland,
89,SU850160,485000,116000,50.9366250409151,-0.79016200515766,2282,England,West Sussex,Recently felled areas/early stage woodland and coppice,-2
90,NS030790,203000,679000,55.9635657003216,-5.15661407628196,,Scotland,Strathclyde,Missing,
91,TQ210130,521000,113000,50.9032261943124,-0.278965982066223,1422,England,West Sussex,Stands of tall herbs (e.g. nettle and willow herb beds),
92,J4135,150060,489996,54.2443391469974,-5.8367558534574,4794,Northern Ireland,County Down,Coastal dune grassland,
93,SU050180,405000,118000,50.9608570194173,-1.92879712719635,2696,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
94,SS870840,287000,184000,51.5430909702683,-3.62968633733046,2748,Wales,Mid Glamorgan,Missing,
95,SO75507660,375500,276600,52.386499911889,-2.36002363561895,2600,England,Hereford and Worcester,Mature mixed broadleaved and coniferous woodland,17
96,SK000530,400000,353000,53.0739320363253,-2,2168,England,Staffordshire,Dry semi/unimproved acid grassland,32
97,TQ540020,554000,102000,50.7965103243134,0.185453976319402,3886,England,East Sussex,Dry semi/unimproved (flower rich) chalk/limestone grassland,16
98,SW710170,171000,17000,50.0084394535282,-5.19648326738226,,England,Cornwall and Isles of Scilly,Missing,
99,TF220630,522000,363000,53.1498567646669,-0.175514583760816,2097,England,Lincolnshire,Dry semi/unimproved acid grassland,26
100,SN670950,267000,295000,52.5362362737578,-3.96115191904963,5267,Wales,Dyfed,Coastal dune grassland,18
101,NU230260,423000,626000,55.5271865762444,-1.63561941952007,2441,England,Northumberland,Coastal dune grassland,-2
102,ST870540,387000,154000,51.2844814752114,-2.1864255946069,1194,England,Wiltshire,Mature mixed broadleaved and coniferous woodland,32
103,NC080130,208000,913000,58.0647044970183,-5.25518452526688,,Scotland,Highland,Missing,
104,TF070040,507000,304000,52.6228530326332,-0.419145877249099,1669,England,Cambridgeshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
106,TR100600,610000,160000,51.2998214041229,1.01279491054667,4400,England,Kent,Recently felled areas/early stage woodland and coppice,31
107,SO880110,388000,211000,51.7970704269128,-2.17402936520984,761,England,Gloucestershire,Agriculturally improved/re-seeded/ heavily fertilised grassland,25
108,TQ550310,555000,131000,51.0568585587979,0.211964992628697,2025,England,East Sussex,Mature mixed broadleaved and coniferous woodland,
109,TQ380950,538000,195000,51.6363874755541,-0.00565116581904879,,England,Outer London,Missing,
110,ST400200,340000,120000,50.9757385167175,-2.85471401978993,953,England,Somerset,Missing,
111,TM110170,611000,217000,51.8112957132088,1.06132079764942,2151,England,Essex,Bare ground/weed communities of post industrial sites e.g. quarries/pits/road/rail/landfill sites,21
112,SX390720,239000,72000,50.5250071990938,-4.27166025795364,1665,England,Cornwall and Isles of Scilly,Mature broadleaved woodland,31
113,TM19103130,619100,231300,51.936566075565,1.18772304776877,3910,England,Essex,Recently felled areas/early stage woodland and coppice,32
114,SP620100,462000,210000,51.7847708866933,-1.10108452707405,4156,England,Buckinghamshire,Mature mixed broadleaved and coniferous woodland,-2
115,SP610110,461000,211000,51.7938718221137,-1.1154054081538,2549,England,Buckinghamshire,Mature mixed broadleaved and coniferous woodland,-2
116,NR720820,172000,682000,55.9767612424114,-5.65482023371285,3894,Scotland,Strathclyde,Mature broadleaved woodland,-2
117,SP600140,460000,214000,51.8209530049846,-1.1293856137103,1853,England,Oxfordshire,Mature mixed broadleaved and coniferous woodland,-2
118,TR000340,600000,134000,51.0698968753209,0.85504969256107,3038,England,Kent,Mature broadleaved woodland,-2
119,TR21803810,621800,138100,51.0987033833536,1.16828262246788,3663,England,Kent,Dry semi/unimproved (flower rich) chalk/limestone grassland,26
120,SO010550,301000,255000,52.1839481774412,-3.44820618151237,2170,Wales,Powys,Dry semi/unimproved acid grassland,
121,SU020860,402000,186000,51.5723900700496,-1.97113833216015,5099,England,Wiltshire,Mature mixed broadleaved and coniferous woodland,
122,TQ810300,581000,130000,51.0402679048136,0.582129878544947,2440,England,Kent,Dry semi/unimproved (flower rich) neutral grassland,25
123,NH380360,238000,836000,57.3857494112587,-4.69538065886385,5962,Scotland,Highland,Dry semi/unimproved acid grassland,
124,SD33308220,333300,482200,54.2309962198383,-3.02334008596993,3131,England,Cumbria,Mature broadleaved woodland,12
125,ST880170,388000,117000,50.9517604143422,-2.17085357802625,4046,England,Dorset,Dry semi/unimproved (flower rich) chalk/limestone grassland,
126,TR270450,627000,145000,51.158621160489,1.24678103627339,1846,England,Kent,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
127,NM830640,183000,764000,56.7172628902101,-5.54654358204014,2245,Scotland,Highland,Mature broadleaved woodland,19
