"SITENO"	"GRIDREF"	"EAST"	"NORTH"
"1145"	"SD480778"	"348000"	"477800"
"2620"	"NO240131"	"324000"	"713100"
"2621"	"NS32703570"	"232700"	"635700"
"2622"	"NT64102440"	"364100"	"624400"
"3222"	"TL37306330"	"537300"	"263300"
"3013"	"ST160990"	"316000"	"199000"
"2623"	"NX84305420"	"284300"	"554200"
"1436"	"TQ48202220"	"548200"	"122200"
"3302"	"TG18900750"	"618900"	"307500"
"2624"	"NS81305490"	"281300"	"654900"
"1461"	"TQ430098"	"543000"	"109800"
"1462"	"TQ436101"	"543600"	"110100"
"1465"	"SU915162"	"491500"	"116200"
"1823"	"SW352318"	"135200"	"31800"
"1824"	"SW358325"	"135800"	"32500"
"1962"	"TQ15707940"	"515700"	"179400"
"1963"	"TQ26408700"	"526400"	"187000"
"1964"	"TQ28408710"	"528400"	"187100"
"1965"	"TQ16208430"	"516200"	"184300"
"1444"	"TQ18402250"	"518400"	"122500"
"1816"	"SW95305950"	"195300"	"59500"
"1330"	"SP83303440"	"483300"	"234400"
"1331"	"SP850401"	"485000"	"240100"
"1333"	"SP650155"	"465000"	"215500"
"1334"	"SP84604200"	"484600"	"242000"
"2389"	"SP30807860"	"430800"	"278600"
"2390"	"SP31407930"	"431400"	"279300"
"1817"	"SX05706090"	"205700"	"60900"
"3221"	"TL32509250"	"532500"	"292500"
"2547"	"ST71507000"	"371500"	"170000"
"3408"	"SE980856"	"498000"	"485600"
"3223"	"TL51305940"	"551300"	"259400"
"1438"	"SU97301740"	"497300"	"117400"
"1439"	"TQ21901200"	"521900"	"112000"
"1441"	"TQ21701350"	"521700"	"113500"
"3019"	"ST22106490"	"322100"	"164900"
"1328"	"SP82100340"	"482100"	"203400"
"2625"	"NM96506150"	"196500"	"761500"
"2626"	"NN05507050"	"205500"	"770500"
"2627"	"NS54907770"	"254900"	"677700"
"2433"	"SU110290"	"411000"	"129000"
"2269"	"SZ00507820"	"400500"	"78200"
"2253"	"SZ020811"	"402000"	"81100"
"1086"	"SZ47209120"	"447200"	"91200"
"1825"	"SW396223"	"139600"	"22300"
"1826"	"SW411356"	"141100"	"35600"
"2067"	"TQ189605"	"518900"	"160500"
"2069"	"SU859415"	"485900"	"141500"
"2070"	"SU894351"	"489400"	"135100"
"2071"	"TQ379647"	"537900"	"164700"
"1087"	"SZ46809150"	"446800"	"91500"
"1088"	"SU470275"	"447000"	"127500"
"1089"	"SU48400610"	"448400"	"106100"
"1091"	"SU43701150"	"443700"	"111500"
"1223"	"TL04905120"	"504900"	"251200"
"1726"	"SX78508920"	"278500"	"89200"
"3014"	"SO110030"	"311000"	"203000"
"3015"	"SO050080"	"305000"	"208000"
"3016"	"SS970980"	"297000"	"198000"
"3017"	"SS900750"	"290000"	"175000"
"3018"	"SS900750"	"290000"	"175000"
"1724"	"SS680025"	"268000"	"102500"
"1326"	"SU86709920"	"486700"	"199200"
"1144"	"SD53707830"	"353700"	"478300"
"2431"	"SU240280"	"424000"	"128000"
"1967"	"TQ120875"	"512000"	"187500"
"1968"	"TL03600720"	"503600"	"207200"
"1969"	"TL11702880"	"511700"	"228800"
"1970"	"TQ36508230"	"536500"	"182300"
"1093"	"SU290320"	"429000"	"132000"
"1096"	"SU70201230"	"470200"	"112300"
"1336"	"SP53602730"	"453600"	"227300"
"1337"	"SU81809590"	"481800"	"195900"
"1339"	"SU61807950"	"461800"	"179500"
"1340"	"SU32908280"	"432900"	"182800"
"1446"	"TQ47802890"	"547800"	"128900"
"1448"	"TQ530208"	"553000"	"120800"
"1449"	"TQ17802370"	"517800"	"123700"
"1450"	"TQ09503270"	"509500"	"132700"
"1535"	"TQ44606350"	"544600"	"163500"
"1537"	"TQ460702"	"546000"	"170200"
"1973"	"TQ210870"	"521000"	"187000"
"1975"	"TL19602850"	"519600"	"228500"
"1976"	"TL280040"	"528000"	"204000"
"1979"	"TL23501430"	"523500"	"214300"
"2052"	"SU97706550"	"497700"	"165500"
"2053"	"TQ13504990"	"513500"	"149900"
"2054"	"TQ30505780"	"530500"	"157800"
"2055"	"TQ190730"	"519000"	"173000"
"2115"	"SP38107270"	"438100"	"272700"
"2117"	"SP10509750"	"410500"	"297500"
"2119"	"SP33509360"	"433500"	"293600"
"2121"	"SP33709390"	"433700"	"293900"
"2124"	"SP37907280"	"437900"	"272800"
"2127"	"SP200603"	"420000"	"260300"
"2128"	"SP37707090"	"437700"	"270900"
"2129"	"SP37707090"	"437700"	"270900"
"2130"	"SP23903350"	"423900"	"233500"
"2271"	"SY99107940"	"399100"	"79400"
"2272"	"SZ18309310"	"418300"	"93100"
"2393"	"SO82804870"	"382800"	"248700"
"2395"	"SJ88504850"	"388500"	"348500"
"2396"	"SJ87204850"	"387200"	"348500"
"2397"	"SJ27302370"	"327300"	"323700"
"2398"	"SO94608080"	"394600"	"280800"
"2399"	"SO88505650"	"388500"	"256500"
"2548"	"ST79806640"	"379800"	"166400"
"2550"	"ST150280"	"315000"	"128000"
"2551"	"ST56502950"	"356500"	"129500"
"2552"	"ST29805830"	"329800"	"158300"
"2553"	"ST04503150"	"304500"	"131500"
"2554"	"ST13803400"	"313800"	"134000"
"2555"	"ST09701890"	"309700"	"118900"
"2628"	"NS700660"	"270000"	"666000"
"2629"	"NM51806910"	"151800"	"769100"
"2630"	"NS750550"	"275000"	"655000"
"2631"	"NY04406510"	"304400"	"565100"
"2632"	"NY05706630"	"305700"	"566300"
"2633"	"NS89507870"	"289500"	"678700"
"2634"	"NN37503350"	"237500"	"733500"
"2635"	"NG91402500"	"191400"	"825000"
"2636"	"NN78606730"	"278600"	"767300"
"2637"	"ND22306980"	"322300"	"969800"
"2639"	"NX86505690"	"286500"	"556900"
"2641"	"NN56701180"	"256700"	"711800"
"2642"	"NX40706850"	"240700"	"568500"
"2643"	"NX70507850"	"270500"	"578500"
"2644"	"NS55207690"	"255200"	"676900"
"2645"	"NS54407730"	"254400"	"677300"
"2646"	"NS54507660"	"254500"	"676600"
"2647"	"NX44504540"	"244500"	"545400"
"2931"	"NZ06704440"	"406700"	"544400"
"2932"	"NZ37303740"	"437300"	"537400"
"3022"	"SN35705770"	"235700"	"257700"
"3023"	"SJ0335"	"303000"	"335000"
"3024"	"SN31205420"	"231200"	"254200"
"3025"	"SH57402240"	"257400"	"322400"
"3026"	"SN410495"	"241000"	"249500"
"3107"	"TL93505750"	"593500"	"257500"
"3224"	"TL46205460"	"546200"	"254600"
"3227"	"TQ820850"	"582000"	"185000"
"2692"	"NF791145"	"79100"	"814500"
"3228"	"TQ66408740"	"566400"	"187400"
"3500"	"J055610"	"116890"	"518929"
"3600"	"SJ88505460"	"388500"	"354600"
"1978"	"TL47701380"	"547700"	"213800"
"1536"	"TQ440698"	"544000"	"169800"
"2122"	"SP26805680"	"426800"	"256800"
"1977"	"SP91201170"	"491200"	"211700"
"2394"	"SJ79604710"	"379600"	"347100"
"1074"	"SU68200430"	"468200"	"104300"
"2545"	"SS97303180"	"297300"	"131800"
"1946"	"TL19400710"	"519400"	"207100"
"2542"	"ST42304120"	"342300"	"141200"
"1305"	"SP93501380"	"493500"	"213800"
"1312"	"SU54508370"	"454500"	"183700"
"1401"	"TQ140080"	"514000"	"108000"
"1322"	"SU67509150"	"467500"	"191500"
"1066"	"SZ63508550"	"463500"	"85500"
"1040"	"SU45402650"	"445400"	"126500"
"1034"	"SZ56507830"	"456500"	"78300"
"1122"	"SD45507640"	"345500"	"476400"
"1119"	"SD440870"	"344000"	"487000"
"1111"	"SD49407270"	"349400"	"472700"
"1110"	"SD480758"	"348000"	"475800"
"1202"	"TL03402110"	"503400"	"221100"
"1201"	"TL03402170"	"503400"	"221700"
"1106"	"SD560780"	"356000"	"478000"
"1021"	"SU64902290"	"464900"	"122900"
"1022"	"SU74103200"	"474100"	"132000"
"1412"	"TQ33500650"	"533500"	"106500"
"1411"	"TQ33800680"	"533800"	"106800"
"1306"	"SP88801080"	"488800"	"210800"
"2316"	"SO93101630"	"393100"	"216300"
"2314"	"SO590347"	"359000"	"234700"
"2263"	"ST99402390"	"399400"	"123900"
"2262"	"SY630990"	"363000"	"99000"
"2233"	"ST910195"	"391000"	"119500"
"2225"	"ST87401640"	"387400"	"116400"
"2208"	"SY95908230"	"395900"	"82300"
"2042"	"TQ33805940"	"533800"	"159400"
"2028"	"TQ330601"	"533000"	"160100"
"2027"	"TQ26505850"	"526500"	"158500"
"2016"	"TQ190540"	"519000"	"154000"
"2512"	"ST26101630"	"326100"	"116300"
"2514"	"ST25201990"	"325200"	"119900"
"2516"	"ST60506050"	"360500"	"160500"
"2518"	"ST40503050"	"340500"	"130500"
"2521"	"ST68604880"	"368600"	"148800"
"2523"	"ST45505870"	"345500"	"158700"
"2525"	"ST460400"	"346000"	"140000"
"2528"	"ST48705070"	"348700"	"150700"
"2529"	"ST49903080"	"349900"	"130800"
"2530"	"ST34702440"	"334700"	"124400"
"2532"	"ST55507250"	"355500"	"172500"
"2534"	"ST17701940"	"317700"	"119400"
"2537"	"ST24801670"	"324800"	"116700"
"2538"	"ST32506600"	"332500"	"166000"
"2539"	"ST50705540"	"350700"	"155400"
"2540"	"ST61503080"	"361500"	"130800"
"2541"	"ST390551"	"339000"	"155100"
"2604"	"NR29206580"	"129200"	"665800"
"2605"	"NS88204220"	"288200"	"642200"
"2606"	"NH81309560"	"281300"	"895600"
"2607"	"NX92206990"	"292200"	"569900"
"2610"	"NM79206880"	"179200"	"768800"
"2611"	"NM84107360"	"184100"	"773600"
"2612"	"NJ33306570"	"333300"	"865700"
"2700"	"SJ72405500"	"372400"	"355000"
"2701"	"SK13405350"	"413400"	"353500"
"2702"	"SK15105610"	"415100"	"356100"
"2706"	"SJ24808460"	"324800"	"384600"
"2800"	"SK38503970"	"438500"	"339700"
"2801"	"SK34503630"	"434500"	"336300"
"2803"	"SK79300200"	"479300"	"302000"
"2804"	"SK78800150"	"478800"	"301500"
"2805"	"SK24805280"	"424800"	"352800"
"2519"	"ST69306380"	"369300"	"163800"
"2520"	"ST48505150"	"348500"	"151500"
"2911"	"NZ33603550"	"433600"	"535500"
"2912"	"NZ00507080"	"400500"	"570800"
"1958"	"TQ16308950"	"516300"	"189500"
"2811"	"SK67204440"	"467200"	"344400"
"1300"	"SU91609030"	"491600"	"190300"
"2235"	"SU10700560"	"410700"	"105600"
"3400"	"SE350180"	"435000"	"418000"
"2928"	"NZ19405430"	"419400"	"554300"
"1442"	"TQ49803290"	"549800"	"132900"
"1148"	"SD41109160"	"341100"	"491600"
"1150"	"SD48707930"	"348700"	"479300"
"1151"	"SD54507780"	"354500"	"477800"
"1343"	"SU61506350"	"461500"	"163500"
"1344"	"SU81208210"	"481200"	"182100"
"1345"	"SU78507580"	"478500"	"175800"
"1346"	"SU84309630"	"484300"	"196300"
"1451"	"TQ37801250"	"537800"	"112500"
"1452"	"TQ45602890"	"545600"	"128900"
"1538"	"TR37304980"	"637300"	"149800"
"1540"	"TR38407140"	"638400"	"171400"
"1542"	"TQ62604440"	"562600"	"144400"
"1980"	"TL07300480"	"507300"	"204800"
"1981"	"TQ20107360"	"520100"	"173600"
"1982"	"TL22301210"	"522300"	"212100"
"1983"	"TL16903030"	"516900"	"230300"
"1984"	"TL26502650"	"526500"	"226500"
"1985"	"TQ36308240"	"536300"	"182400"
"1986"	"TQ28108280"	"528100"	"182800"
"1987"	"TQ27108740"	"527100"	"187400"
"1988"	"TL230139"	"523000"	"213900"
"1989"	"TL47301930"	"547300"	"219300"
"1990"	"TL230135"	"523000"	"213500"
"2056"	"TQ00904890"	"500900"	"148900"
"2057"	"TQ220720"	"522000"	"172000"
"2058"	"SU92804050"	"492800"	"140500"
"2131"	"SP37807280"	"437800"	"272800"
"2273"	"ST73501350"	"373500"	"113500"
"2274"	"SY38509330"	"338500"	"93300"
"2278"	"ST73601000"	"373600"	"110000"
"2556"	"ST53506370"	"353500"	"163700"
"2557"	"ST50103370"	"350100"	"133700"
"2558"	"ST34505610"	"334500"	"156100"
"2559"	"ST33205760"	"333200"	"157600"
"2648"	"NS73105540"	"273100"	"655400"
"2650"	"NH77905580"	"277900"	"855800"
"2933"	"NZ39505410"	"439500"	"554100"
"2934"	"NZ120400"	"412000"	"540000"
"2936"	"NZ28304480"	"428300"	"544800"
"3027"	"SJ29406770"	"329400"	"367700"
"3029"	"SN18204590"	"218200"	"245900"
"3030"	"SN210437"	"221000"	"243700"
"3032"	"SN53707060"	"253700"	"270600"
"3108"	"TM12405120"	"612400"	"251200"
"2015"	"TQ19505330"	"519500"	"153300"
"2006"	"TQ17705200"	"517700"	"152000"
"2005"	"TQ18305100"	"518300"	"151000"
"1926"	"TL34903980"	"534900"	"239800"
"1925"	"TL34804010"	"534800"	"240100"
"1614"	"TF26708060"	"526700"	"380600"
"1530"	"TR08505300"	"608500"	"153000"
"1512"	"TR200381"	"620000"	"138100"
"1510"	"TQ73506240"	"573500"	"162400"
"1423"	"TQ36400280"	"536400"	"102800"
"1421"	"TQ580018"	"558000"	"101800"
"1417"	"SU99100970"	"499100"	"109700"
"1416"	"SU99100970"	"499100"	"109700"
"2549"	"ST48503240"	"348500"	"132400"
"2434"	"ST83706770"	"383700"	"167700"
"1097"	"SU48402760"	"448400"	"127600"
"1329"	"SP93501390"	"493500"	"213900"
"1327"	"SU35208180"	"435200"	"181800"
"3215"	"TL61206200"	"561200"	"262000"
"2613"	"NO520400"	"352000"	"740000"
"1429"	"SU87502450"	"487500"	"124500"
"2270"	"SY62809690"	"362800"	"96900"
"2914"	"NZ33203270"	"433200"	"532700"
"2904"	"NZ40502850"	"440500"	"528500"
"2535"	"ST47403250"	"347400"	"132500"
"2531"	"ST550779"	"355000"	"177900"
"2517"	"ST47505450"	"347500"	"154500"
"2501"	"ST39505600"	"339500"	"156000"
"2428"	"ST79903510"	"379900"	"135100"
"2410"	"SU22502570"	"422500"	"125700"
"2409"	"ST90405160"	"390400"	"151600"
"2359"	"SO46908660"	"346900"	"286600"
"2357"	"SO93709190"	"393700"	"291900"
"2401"	"SU24202950"	"424200"	"129500"
"2047"	"SU91303270"	"491300"	"132700"
"2376"	"SJ98400070"	"398400"	"300700"
"2227"	"SY55209890"	"355200"	"98900"
"1209"	"TL04605100"	"504600"	"251000"
"2250"	"SZ08409650"	"408400"	"96500"
"2112"	"SP30405070"	"430400"	"250700"
"2021"	"TQ29606760"	"529600"	"167600"
"1038"	"SU660235"	"466000"	"123500"
"1037"	"SU49400730"	"449400"	"107300"
"2546"	"ST27302950"	"327300"	"129500"
"3209"	"TQ68808740"	"568800"	"187400"
"3208"	"TQ68808760"	"568800"	"187600"
"3006"	"SH73802480"	"273800"	"324800"
"2707"	"SJ72405500"	"372400"	"355000"
"2526"	"ST20804580"	"320800"	"145800"
"1955"	"TQ10908020"	"510900"	"180200"
"1906"	"TL230170"	"523000"	"217000"
"1303"	"SP78202150"	"478200"	"221500"
"2504"	"ST24701680"	"324700"	"116800"
"2330"	"SO76504550"	"376500"	"245500"
"2228"	"SY54909790"	"354900"	"97900"
"1974"	"TL00500650"	"500500"	"206500"
"2116"	"SP10309770"	"410300"	"297700"
"1017"	"SU51502920"	"451500"	"129200"
"1139"	"SD78104300"	"378100"	"443000"
"1722"	"SX75307240"	"275300"	"72400"
"3212"	"TL37805490"	"537800"	"254900"
"3103"	"TM20504820"	"620500"	"248200"
"2522"	"ST68404860"	"368400"	"148600"
"1954"	"TL07900580"	"507900"	"205800"
"2505"	"SS99602900"	"299600"	"129000"
"1902"	"TL20300510"	"520300"	"205100"
"2929"	"NZ45402300"	"445400"	"523000"
"1714"	"SS29700780"	"229700"	"107800"
"1069"	"SU560170"	"456000"	"117000"
"1011"	"SU430227"	"443000"	"122700"
"1120"	"SD41609150"	"341600"	"491500"
"1701"	"SX72908990"	"272900"	"89900"
"2608"	"NN10509130"	"210500"	"791300"
"2378"	"SO760382"	"376000"	"238200"
"2331"	"SO760382"	"376000"	"238200"
"2301"	"SO460663"	"346000"	"266300"
"1814"	"SS21601730"	"221600"	"117300"
"1056"	"SU43903070"	"443900"	"130700"
"1901"	"TL16101490"	"516100"	"214900"
"1712"	"SS64604830"	"264600"	"148300"
"2533"	"ST11201540"	"311200"	"115400"
"1445"	"TQ46402840"	"546400"	"128400"
"1430"	"TQ41403210"	"541400"	"132100"
"2375"	"SK060037"	"406000"	"303700"
"2252"	"SZ02508500"	"402500"	"85000"
"2229"	"SZ06809640"	"406800"	"96400"
"1029"	"SU62206230"	"462200"	"162300"
"3407"	"SE160970"	"416000"	"497000"
"2118"	"SP20809300"	"420800"	"293000"
"1956"	"TQ110795"	"511000"	"179500"
"1342"	"SP82503610"	"482500"	"236100"
"1443"	"TQ88201540"	"588200"	"115400"
"3301"	"TG24401030"	"624400"	"310300"
"3008"	"SH69907350"	"269900"	"373500"
"2429"	"SU27502850"	"427500"	"128500"
"2237"	"SY80909150"	"380900"	"91500"
"1909"	"TL07401700"	"507400"	"217000"
"1708"	"SX99909950"	"299900"	"99500"
"1024"	"SU61506100"	"461500"	"161000"
"2900"	"NZ490365"	"449000"	"536500"
"1042"	"SU41202350"	"441200"	"123500"
"1706"	"SX87208450"	"287200"	"84500"
"2219"	"SY85708800"	"385700"	"88000"
"2930"	"NZ41103890"	"441100"	"538900"
"2125"	"SP10805650"	"410800"	"256500"
"3012"	"SS880840"	"288000"	"184000"
"3106"	"TL800806"	"580000"	"280600"
"2614"	"NS85605670"	"285600"	"656700"
"2527"	"ST10102320"	"310100"	"123200"
"2418"	"SU240387"	"424000"	"138700"
"2358"	"SO74507620"	"374500"	"276200"
"2251"	"ST900157"	"390000"	"115700"
"2246"	"SY54309740"	"354300"	"97400"
"1807"	"SW60303230"	"160300"	"32300"
"1610"	"SK94302330"	"494300"	"323300"
"1105"	"SD56507770"	"356500"	"477700"
"1079"	"SU310004"	"431000"	"100400"
"1045"	"SU54200970"	"454200"	"109700"
"1028"	"SZ74809830"	"474800"	"98300"
"1915"	"TL27602160"	"527600"	"221600"
"1945"	"TQ31708810"	"531700"	"188100"
"2353"	"ST74508750"	"374500"	"187500"
"2703"	"SJ550711"	"355000"	"371100"
"2640"	"NS330410"	"233000"	"641000"
"2923"	"NZ22806060"	"422800"	"560600"
"2601"	"NS400940"	"240000"	"694000"
"2345"	"SO92705870"	"392700"	"258700"
"1136"	"SD42201450"	"342200"	"414500"
"2367"	"SO88406260"	"388400"	"262600"
"2366"	"SP07404470"	"407400"	"244700"
"2332"	"SO94800840"	"394800"	"208400"
"2012"	"TQ27304860"	"527300"	"148600"
"2009"	"TQ03904320"	"503900"	"143200"
"1094"	"SU70401380"	"470400"	"113800"
"2638"	"NX59905180"	"259900"	"551800"
"1341"	"SP81303650"	"481300"	"236500"
"3101"	"TM46906710"	"646900"	"267100"
"1921"	"TL20903380"	"520900"	"233800"
"1613"	"TF000220"	"500000"	"322000"
"3214"	"TL41305800"	"541300"	"258000"
"1310"	"SU56209230"	"456200"	"192300"
"1931"	"TL140310"	"514000"	"231000"
"1314"	"SU61509000"	"461500"	"190000"
"1944"	"TL06800390"	"506800"	"203900"
"1950"	"TQ260967"	"526000"	"196700"
"1920"	"TL35304040"	"535300"	"240400"
"1212"	"TL03902810"	"503900"	"228100"
"2107"	"SP43806490"	"443800"	"264900"
"1036"	"SU38503890"	"438500"	"138900"
"3021"	"SJ13707610"	"313700"	"376100"
"3219"	"TF160030"	"516000"	"303000"
"2922"	"NZ14605790"	"414600"	"557900"
"2918"	"NZ36603580"	"436600"	"535800"
"2806"	"SK41403050"	"441400"	"330500"
"2802"	"SK44204250"	"444200"	"342500"
"2704"	"SJ85508450"	"385500"	"384500"
"2365"	"SP12604400"	"412600"	"244000"
"2356"	"SP32309480"	"432300"	"294800"
"2247"	"SY540974"	"354000"	"97400"
"2224"	"SZ13809350"	"413800"	"93500"
"2114"	"SP48707590"	"448700"	"275900"
"2306"	"SP09203870"	"409200"	"238700"
"1057"	"SU37503750"	"437500"	"137500"
"1211"	"TL04102710"	"504100"	"227100"
"1604"	"TF02101920"	"502100"	"319200"
"1605"	"TF03302040"	"503300"	"320400"
"2387"	"SP35709350"	"435700"	"293500"
"2388"	"SP39305820"	"439300"	"258200"
"2432"	"SU01906710"	"401900"	"167100"
"1085"	"SU46603290"	"446600"	"132900"
"1121"	"SD28501050"	"328500"	"410500"
"1123"	"SD41509060"	"341500"	"490600"
"1704"	"SS64604840"	"264600"	"148400"
"1916"	"TL19201470"	"519200"	"214700"
"1918"	"TL14601640"	"514600"	"216400"
"2040"	"TQ27207340"	"527200"	"173400"
"2041"	"TQ22807700"	"522800"	"177000"
"2102"	"SP25505980"	"425500"	"259800"
"2104"	"SP38507260"	"438500"	"272600"
"2254"	"SZ02507830"	"402500"	"78300"
"2255"	"SY98709500"	"398700"	"95000"
"2348"	"SP38206140"	"438200"	"261400"
"2349"	"ST78509850"	"378500"	"198500"
"1408"	"TQ240112"	"524000"	"111200"
"1419"	"TQ33203060"	"533200"	"130600"
"1427"	"TQ31902180"	"531900"	"121800"
"1505"	"TR28504470"	"628500"	"144700"
"1522"	"TQ91805670"	"591800"	"156700"
"1528"	"TQ82706290"	"582700"	"162900"
"1606"	"TF04202060"	"504200"	"320600"
"1710"	"SX490836"	"249000"	"83600"
"1717"	"SX48407030"	"248400"	"70300"
"1806"	"SW76605950"	"176600"	"59500"
"1812"	"SX10809110"	"210800"	"91100"
"1907"	"TQ28909720"	"528900"	"197200"
"1927"	"TL33303960"	"533300"	"239600"
"1934"	"TL22102080"	"522100"	"220800"
"1949"	"TQ17507650"	"517500"	"176500"
"2002"	"TQ27506750"	"527500"	"167500"
"2011"	"TQ13504980"	"513500"	"149800"
"2019"	"TQ330587"	"533000"	"158700"
"2029"	"TQ17206070"	"517200"	"160700"
"2033"	"TQ12103880"	"512100"	"138800"
"2100"	"SP290726"	"429000"	"272600"
"2106"	"SP37607220"	"437600"	"272200"
"2202"	"ST96300300"	"396300"	"103000"
"2212"	"SZ02907720"	"402900"	"77200"
"2218"	"SY97809080"	"397800"	"90800"
"2230"	"SY67408270"	"367400"	"82700"
"2240"	"SY69607200"	"369600"	"72000"
"2248"	"SZ12909710"	"412900"	"97100"
"2266"	"ST98601410"	"398600"	"114100"
"2310"	"SO91207350"	"391200"	"273500"
"2320"	"SP38605960"	"438600"	"259600"
"2326"	"SP29907280"	"429900"	"272800"
"2335"	"SO93509250"	"393500"	"292500"
"2342"	"ST740983"	"374000"	"198300"
"2351"	"SP36209420"	"436200"	"294200"
"2361"	"SP06209700"	"406200"	"297000"
"2370"	"SO78404140"	"378400"	"241400"
"2377"	"SO91207350"	"391200"	"273500"
"2408"	"SU18504080"	"418500"	"140800"
"2416"	"ST79106090"	"379100"	"160900"
"2421"	"SU00306400"	"400300"	"164000"
"2500"	"ST790682"	"379000"	"168200"
"2509"	"SS88502950"	"288500"	"129500"
"2513"	"ST27302100"	"327300"	"121000"
"2524"	"ST49503250"	"349500"	"132500"
"2536"	"ST11201540"	"311200"	"115400"
"2602"	"NR27506950"	"127500"	"669500"
"2609"	"NN120911"	"212000"	"791100"
"2705"	"SJ87806260"	"387800"	"362600"
"2807"	"SK66608670"	"466600"	"386700"
"2907"	"NZ01505250"	"401500"	"552500"
"2913"	"NZ34103600"	"434100"	"536000"
"3202"	"TQ51508550"	"551500"	"185500"
"1972"	"TL16900510"	"516900"	"205100"
"1720"	"SX87206760"	"287200"	"67600"
"3403"	"SE15504670"	"415500"	"446700"
"2268"	"SY920874"	"392000"	"87400"
"2921"	"NZ16505110"	"416500"	"551100"
"1432"	"TQ23103650"	"523100"	"136500"
"10315"	"SJ13702130"	"313700"	"321300"
"10483"	"SJ16700870"	"316700"	"308700"
"10501"	"SJ97301870"	"397300"	"318700"
"10355"	"NY43803780"	"343800"	"537800"
"10378"	"SN620570"	"262000"	"257000"
"10396"	"SS570920"	"257000"	"192000"
"10405"	"SN080050"	"208000"	"205000"
"10411"	"SM990280"	"199000"	"228000"
"1434"	"SU990310"	"499000"	"131000"
"1723"	"SX83207510"	"283200"	"75100"
"2384"	"SP37807280"	"437800"	"272800"
"1960"	"TQ10407850"	"510400"	"178500"
"2619"	"NM680520"	"168000"	"752000"
"2267"	"ST610003"	"361000"	"100300"
"1966"	"TQ16308440"	"516300"	"184400"
"1332"	"SP87803850"	"487800"	"238500"
"2386"	"SP36309460"	"436300"	"294600"
"1092"	"SU53300240"	"453300"	"102400"
"1440"	"TQ51301470"	"551300"	"114700"
"2051"	"SU84304800"	"484300"	"148000"
"1090"	"SU460160"	"446000"	"116000"
"1143"	"SD490764"	"349000"	"476400"
"1437"	"TV54509740"	"554500"	"97400"
"2123"	"SP38407280"	"438400"	"272800"
"2391"	"SO75603820"	"375600"	"238200"
"3225"	"TL570644"	"557000"	"264400"
"2603"	"NR27706810"	"127700"	"668100"
"1104"	"SD54507740"	"354500"	"477400"
"1304"	"SU56809250"	"456800"	"192500"
"2209"	"SY95608240"	"395600"	"82400"
"1146"	"SD54607720"	"354600"	"477200"
"3613"	"SO334839"	"333400"	"283900"
"3615"	"SO769474"	"376900"	"247400"
"2905"	"NZ31603250"	"431600"	"532500"
"2515"	"ST42605550"	"342600"	"155500"
"3102"	"TL84606510"	"584600"	"265100"
"1914"	"TQ08207270"	"508200"	"172700"
"1210"	"TL07504930"	"507500"	"249300"
"1725"	"SS480190"	"248000"	"119000"
"2307"	"SO81704130"	"381700"	"241300"
"3011"	"SM770268"	"177000"	"226800"
"2201"	"SU12500150"	"412500"	"101500"
"1302"	"SU81308670"	"481300"	"186700"
"2319"	"SO97305600"	"397300"	"256000"
"1060"	"SU31500400"	"431500"	"104000"
"1936"	"TL11601400"	"511600"	"214000"
"2108"	"SP36209420"	"436200"	"294200"
"1971"	"TL31701540"	"531700"	"215400"
"1703"	"SX70407100"	"270400"	"71000"
"2120"	"SP340935"	"434000"	"293500"
"2046"	"TQ38704420"	"538700"	"144200"
"1149"	"SD47407910"	"347400"	"479100"
"1335"	"SU64906970"	"464900"	"169700"
"1727"	"SX7572"	"275000"	"72000"
"1820"	"SX43504920"	"243500"	"49200"
"2436"	"SU14907630"	"414900"	"176300"
"2560"	"ST089185"	"308900"	"118500"
"3235"	"TQ8287"	"582000"	"187000"
"3501"	"D119035"	"126900"	"560745"
"3700"	"NX41300330"	"241300"	"503300"
"3800"	"SU410015"	"441000"	"101500"
"3028"	"SN180440"	"218000"	"244000"
"1147"	"SD48307740"	"348300"	"477400"
"1152"	"SD46807390"	"346800"	"473900"
"3801"	"SU62800670"	"462800"	"106700"
"2649"	"NS63805100"	"263800"	"651000"
"2279"	"SY95508100"	"395500"	"81000"
"1728"	"ST11201540"	"311200"	"115400"
"2935"	"NZ14904190"	"414900"	"541900"
"3031"	"SH75500450"	"275500"	"304500"
"10416"	"SN480160"	"248000"	"216000"
"10452"	"SY65709480"	"365700"	"94800"
"10476"	"NY23702480"	"323700"	"524800"
"10479"	"NY41204040"	"341200"	"540400"
"10486"	"SN79300980"	"279300"	"209800"
"10510"	"SX69408990"	"269400"	"89900"
"10342"	"SE53308710"	"453300"	"487100"
"10348"	"SE51109130"	"451100"	"491300"
"10349"	"SE51809090"	"451800"	"490900"
"10350"	"SE57308730"	"457300"	"487300"
"10351"	"SE53108900"	"453100"	"489000"
"10372"	"SS79708150"	"279700"	"181500"
"10085"	"SX480700"	"248000"	"70000"
"10038"	"SS900760"	"290000"	"176000"
"10055"	"SX78207760"	"278200"	"77600"
"193"	"SZ17809040"	"417800"	"90400"
"194"	"SM73500500"	"173500"	"205000"
"10029"	"SS85804600"	"285800"	"146000"
"10031"	"SS79204640"	"279200"	"146400"
"10048"	"SS86803640"	"286800"	"136400"
"2652"	"NT27407340"	"327400"	"673400"
"10094"	"SE72408640"	"472400"	"486400"
