"SITENO"	"GRIDREF"	"EAST"	"NORTH"
"76"	"TL560700"	"556000"	"270000"
"77"	"NO460260"	"346000"	"726000"
"78"	"NO130900"	"313000"	"790000"
"79"	"NO7463"	"374000"	"763000"
"80"	"TR030490"	"603000"	"149000"
"81"	"SH210810"	"221000"	"381000"
"82"	"SH220800"	"222000"	"380000"
"83"	"SU110630"	"411000"	"163000"
"84"	"SU410238"	"441000"	"123800"
"85"	"SK1865"	"418000"	"365000"
"86"	"SU580330"	"458000"	"133000"
"87"	"NK020270"	"402000"	"827000"
"89"	"SU850160"	"485000"	"116000"
"90"	"NS030790"	"203000"	"679000"
"91"	"TQ210130"	"521000"	"113000"
"92"	"J4135"	"150060"	"489996"
"93"	"SU050180"	"405000"	"118000"
"94"	"SS870840"	"287000"	"184000"
"95"	"SO75507660"	"375500"	"276600"
"108"	"TQ550310"	"555000"	"131000"
"109"	"TQ380950"	"538000"	"195000"
"110"	"ST400200"	"340000"	"120000"
"111"	"TM110170"	"611000"	"217000"
"112"	"SX390720"	"239000"	"72000"
"113"	"TM19103130"	"619100"	"231300"
"114"	"SP620100"	"462000"	"210000"
"115"	"SP610110"	"461000"	"211000"
"116"	"NR720820"	"172000"	"682000"
"117"	"SP600140"	"460000"	"214000"
"118"	"TR000340"	"600000"	"134000"
"119"	"TR21803810"	"621800"	"138100"
"120"	"SO010550"	"301000"	"255000"
"121"	"SU020860"	"402000"	"186000"
"99"	"TF220630"	"522000"	"363000"
"100"	"SN670950"	"267000"	"295000"
"101"	"NU230260"	"423000"	"626000"
"102"	"ST870540"	"387000"	"154000"
"103"	"NC080130"	"208000"	"913000"
"104"	"TF070040"	"507000"	"304000"
"106"	"TR100600"	"610000"	"160000"
"107"	"SO880110"	"388000"	"211000"
"1216"	"TL18504750"	"518500"	"247500"
"1217"	"TL25505050"	"525500"	"250500"
"1218"	"TL11504150"	"511500"	"241500"
"1221"	"TL01201820"	"501200"	"218200"
"1222"	"SP97902200"	"497900"	"222000"
"1301"	"SP700210"	"470000"	"221000"
"1307"	"SP72102160"	"472100"	"221600"
"1308"	"SP93701410"	"493700"	"214100"
"1311"	"SU50806500"	"450800"	"165000"
"1313"	"SP86803270"	"486800"	"232700"
"1315"	"SP62901020"	"462900"	"210200"
"1316"	"SU95408500"	"495400"	"185000"
"1317"	"SU95408500"	"495400"	"185000"
"1319"	"SU63707410"	"463700"	"174100"
"1320"	"SU610874"	"461000"	"187400"
"1321"	"SU58708090"	"458700"	"180900"
"1323"	"SP900095"	"490000"	"209500"
"1402"	"TQ540027"	"554000"	"102700"
"1003"	"SU360467"	"436000"	"146700"
"1004"	"SU460020"	"446000"	"102000"
"1005"	"SU60302270"	"460300"	"122700"
"1006"	"SU79404280"	"479400"	"142800"
"1007"	"SZ57607850"	"457600"	"78500"
"1008"	"SU29403270"	"429400"	"132700"
"1010"	"SU68200440"	"468200"	"104400"
"1012"	"SU64700790"	"464700"	"107900"
"1013"	"SU45801620"	"445800"	"116200"
"1014"	"SU36401490"	"436400"	"114900"
"1016"	"SU50502920"	"450500"	"129200"
"1018"	"SU03402030"	"403400"	"120300"
"1019"	"SU04501900"	"404500"	"119000"
"1025"	"SZ47709030"	"447700"	"90300"
"1026"	"SU62100670"	"462100"	"106700"
"1030"	"SU48402750"	"448400"	"127500"
"1031"	"SU50801000"	"450800"	"110000"
"1032"	"SU35801450"	"435800"	"114500"
"1033"	"SU53300240"	"453300"	"102400"
"1039"	"SU48803050"	"448800"	"130500"
"1041"	"SU82303300"	"482300"	"133000"
"1043"	"SU73502640"	"473500"	"126400"
"1044"	"SU54501000"	"454500"	"110000"
"1047"	"SZ58209970"	"458200"	"99700"
"1048"	"SU51500400"	"451500"	"104000"
"1049"	"SU69201440"	"469200"	"114400"
"1050"	"SU66305190"	"466300"	"151900"
"1051"	"SU43802950"	"443800"	"129500"
"1053"	"SU67202250"	"467200"	"122500"
"1054"	"SZ55509080"	"455500"	"90800"
"1055"	"SU57200590"	"457200"	"105900"
"1058"	"SU38203570"	"438200"	"135700"
"1059"	"SU47305740"	"447300"	"157400"
"1063"	"SZ510933"	"451000"	"93300"
"1064"	"SZ530930"	"453000"	"93000"
"1065"	"SU75803530"	"475800"	"135300"
"1067"	"SZ50309090"	"450300"	"90900"
"1070"	"SU46901670"	"446900"	"116700"
"1071"	"SU13301460"	"413300"	"114600"
"1072"	"SU40401850"	"440400"	"118500"
"1073"	"SU68800520"	"468800"	"105200"
"1076"	"SU32200010"	"432200"	"100100"
"1077"	"SU32200090"	"432200"	"100900"
"1078"	"SZ33209970"	"433200"	"99700"
"1080"	"SU72605340"	"472600"	"153400"
"1081"	"SU72905350"	"472900"	"153500"
"1083"	"SZ31709960"	"431700"	"99600"
"1084"	"SU490276"	"449000"	"127600"
"1101"	"SD46807390"	"346800"	"473900"
"1102"	"SD44807680"	"344800"	"476800"
"1103"	"SD48909040"	"348900"	"490400"
"1107"	"SD45907360"	"345900"	"473600"
"1108"	"SD43908280"	"343900"	"482800"
"1112"	"SD49307340"	"349300"	"473400"
"1114"	"SD43508750"	"343500"	"487500"
"1115"	"SD450887"	"345000"	"488700"
"1116"	"SD43508650"	"343500"	"486500"
"1117"	"SD450870"	"345000"	"487000"
"1118"	"SD45408560"	"345400"	"485600"
"1125"	"SD47307970"	"347300"	"479700"
"1126"	"SD46407630"	"346400"	"476300"
"1127"	"SD48808810"	"348800"	"488100"
"1129"	"SJ31909700"	"331900"	"397000"
"1130"	"SD40506000"	"340500"	"460000"
"1131"	"SD47407910"	"347400"	"479100"
"1133"	"NY25505860"	"325500"	"558600"
"1134"	"NY760085"	"376000"	"508500"
"1135"	"NY20506020"	"320500"	"560200"
"1137"	"SD44701570"	"344700"	"415700"
"1138"	"SD44701570"	"344700"	"415700"
"1140"	"SD33709370"	"333700"	"493700"
"1203"	"TL030215"	"503000"	"221500"
"1404"	"SU88501370"	"488500"	"113700"
"1405"	"TQ27401230"	"527400"	"112300"
"1406"	"TQ28401380"	"528400"	"113800"
"1407"	"TQ51200140"	"551200"	"101400"
"1409"	"TQ26501100"	"526500"	"111000"
"1410"	"SU79801780"	"479800"	"117800"
"1413"	"TQ34300660"	"534300"	"106600"
"1414"	"TQ430107"	"543000"	"110700"
"8"	"SU64502080"	"464500"	"120800"
"9"	"SU820100"	"482000"	"110000"
"10"	"SS5087"	"250000"	"187000"
"11"	"SH650270"	"265000"	"327000"
"12"	"TQ820850"	"582000"	"185000"
"13"	"SO180160"	"318000"	"216000"
"14"	"SU890920"	"489000"	"192000"
"15"	"SP250200"	"425000"	"220000"
"16"	"SZ020810"	"402000"	"81000"
"17"	"SU810960"	"481000"	"196000"
"69"	"TF710440"	"571000"	"344000"
"70"	"SH420640"	"242000"	"364000"
"71"	"TQ370070"	"537000"	"107000"
"72"	"SD4777"	"347000"	"477000"
"35"	"TL120690"	"512000"	"269000"
"36"	"TG340160"	"634000"	"316000"
"37"	"NY880280"	"388000"	"528000"
"38"	"ST550730"	"355000"	"173000"
"39"	"TF460930"	"546000"	"393000"
"40"	"SN680620"	"268000"	"262000"
"41"	"NO160990"	"316000"	"799000"
"2373"	"SO95509950"	"395500"	"299500"
"2374"	"SP030999"	"403000"	"299900"
"2379"	"SO75507590"	"375500"	"275900"
"2402"	"SU25802910"	"425800"	"129100"
"2403"	"SU250300"	"425000"	"130000"
"2404"	"SU25102830"	"425100"	"128300"
"2405"	"ST87705670"	"387700"	"156700"
"2406"	"SU23502910"	"423500"	"129100"
"2407"	"SU17704120"	"417700"	"141200"
"2411"	"ST88105770"	"388100"	"157700"
"2412"	"ST99805990"	"399800"	"159900"
"2413"	"ST82805970"	"382800"	"159700"
"2414"	"SU04603840"	"404600"	"138400"
"2415"	"SU22502570"	"422500"	"125700"
"2417"	"ST95303740"	"395300"	"137400"
"2419"	"ST95106610"	"395100"	"166100"
"2420"	"SU02308810"	"402300"	"188100"
"2422"	"SU220660"	"422000"	"166000"
"2423"	"SU02506850"	"402500"	"168500"
"2424"	"ST87104840"	"387100"	"148400"
"2425"	"ST80705600"	"380700"	"156000"
"2426"	"SU04508570"	"404500"	"185700"
"2427"	"ST85307590"	"385300"	"175900"
"2430"	"SU25303180"	"425300"	"131800"
"2502"	"ST49205120"	"349200"	"151200"
"2503"	"ST250164"	"325000"	"116400"
"2506"	"ST41505550"	"341500"	"155500"
"2507"	"SS90604100"	"290600"	"141000"
"2508"	"SS89304550"	"289300"	"145500"
"2510"	"ST18801780"	"318800"	"117800"
"2511"	"ST18801810"	"318800"	"118100"
"2293"	"SY994813"	"399400"	"81300"
"1415"	"TQ44302970"	"544300"	"129700"
"1420"	"TQ33503020"	"533500"	"130200"
"1422"	"TQ53400740"	"553400"	"107400"
"1424"	"TQ36602370"	"536600"	"123700"
"1425"	"TQ370243"	"537000"	"124300"
"1426"	"TQ51601590"	"551600"	"115900"
"1500"	"TQ45904330"	"545900"	"143300"
"1501"	"TQ78306630"	"578300"	"166300"
"1502"	"TQ79206540"	"579200"	"165400"
"1503"	"TQ96804580"	"596800"	"145800"
"1504"	"TQ50806040"	"550800"	"160400"
"1508"	"TQ62706030"	"562700"	"160300"
"1511"	"TQ990349"	"599000"	"134900"
"1514"	"TQ550594"	"555000"	"159400"
"1519"	"TR35206160"	"635200"	"161600"
"1520"	"TQ90705650"	"590700"	"156500"
"1521"	"TQ91605860"	"591600"	"158600"
"1523"	"TQ89705530"	"589700"	"155300"
"1524"	"TQ98103550"	"598100"	"135500"
"1525"	"TQ62604440"	"562600"	"144400"
"1526"	"TQ61504350"	"561500"	"143500"
"1527"	"TR14906440"	"614900"	"164400"
"1529"	"TR12505550"	"612500"	"155500"
"1601"	"SK94406970"	"494400"	"369700"
"2443"	"SU074915"	"407400"	"191500"
"1602"	"SK94306850"	"494300"	"368500"
"1603"	"TF150740"	"515000"	"374000"
"1607"	"TF11507160"	"511500"	"371600"
"1608"	"SK95402250"	"495400"	"322500"
"1702"	"SX72206850"	"272200"	"68500"
"1705"	"ST11501550"	"311500"	"115500"
"1707"	"SS29600820"	"229600"	"108200"
"1709"	"SX660985"	"266000"	"98500"
"1711"	"SX78508920"	"278500"	"89200"
"1713"	"SS65204850"	"265200"	"148500"
"1715"	"SX69505520"	"269500"	"55200"
"1716"	"SX820370"	"282000"	"37000"
"1718"	"SX85608160"	"285600"	"81600"
"1801"	"SX11706760"	"211700"	"67600"
"1802"	"SX09507750"	"209500"	"77500"
"1803"	"SW58704130"	"158700"	"41300"
"1804"	"SW58404160"	"158400"	"41600"
"1805"	"SW58404160"	"158400"	"41600"
"1808"	"SX37807330"	"237800"	"73300"
"1809"	"SX39507250"	"239500"	"72500"
"1810"	"SX06706650"	"206700"	"66500"
"1811"	"SW95807980"	"195800"	"79800"
"1813"	"SW51803780"	"151800"	"37800"
"1815"	"SS22401840"	"222400"	"118400"
"1900"	"TQ340986"	"534000"	"198600"
"1903"	"TL24600360"	"524600"	"203600"
"1904"	"SP95201290"	"495200"	"212900"
"1905"	"TQ19908730"	"519900"	"187300"
"1908"	"SP900149"	"490000"	"214900"
"1910"	"TL16500530"	"516500"	"205300"
"1911"	"TL44302570"	"544300"	"225700"
"1912"	"SP930105"	"493000"	"210500"
"1913"	"TL19800750"	"519800"	"207500"
"1922"	"TQ19508760"	"519500"	"187600"
"1928"	"TL33303950"	"533300"	"239500"
"1929"	"TL31901030"	"531900"	"210300"
"1930"	"TL25801080"	"525800"	"210800"
"1932"	"TQ09108430"	"509100"	"184300"
"1933"	"TQ31609880"	"531600"	"198800"
"1935"	"TL24602340"	"524600"	"223400"
"1937"	"TL20400530"	"520400"	"205300"
"1938"	"TL21900040"	"521900"	"200400"
"1939"	"TQ35309100"	"535300"	"191000"
"1940"	"TL34701430"	"534700"	"214300"
"1941"	"TL34401060"	"534400"	"210600"
"1942"	"TL13100090"	"513100"	"200900"
"1943"	"TQ10107790"	"510100"	"177900"
"1947"	"TQ04709350"	"504700"	"193500"
"2444"	"ST946777"	"394600"	"177700"
"2586"	"ST633632"	"363300"	"163200"
"2587"	"ST466350"	"346600"	"135000"
"1948"	"TL20201560"	"520200"	"215600"
"1951"	"TQ33608680"	"533600"	"186800"
"1952"	"TL36901520"	"536900"	"215200"
"1953"	"TL00200640"	"500200"	"206400"
"2000"	"TQ180594"	"518000"	"159400"
"2001"	"TQ25706140"	"525700"	"161400"
"2003"	"TQ18505100"	"518500"	"151000"
"2004"	"TQ180510"	"518000"	"151000"
"2007"	"SU93606120"	"493600"	"161200"
"2008"	"TQ320570"	"532000"	"157000"
"2010"	"TQ150501"	"515000"	"150100"
"2013"	"TQ300575"	"530000"	"157500"
"2014"	"TQ09404840"	"509400"	"148400"
"2017"	"TQ380617"	"538000"	"161700"
"2018"	"TQ22205720"	"522200"	"157200"
"2020"	"TQ28506800"	"528500"	"168000"
"2022"	"TQ22804540"	"522800"	"145400"
"2023"	"TQ19504280"	"519500"	"142800"
"2024"	"SU990338"	"499000"	"133800"
"2025"	"TQ37505420"	"537500"	"154200"
"2026"	"TQ38505420"	"538500"	"154200"
"2030"	"TQ050636"	"505000"	"163600"
"2031"	"TQ08805150"	"508800"	"151500"
"2032"	"TQ35206840"	"535200"	"168400"
"2034"	"TQ10304870"	"510300"	"148700"
"2035"	"TQ26605240"	"526600"	"152400"
"2037"	"TQ37705730"	"537700"	"157300"
"2038"	"TQ08504880"	"508500"	"148800"
"2039"	"TQ38206150"	"538200"	"161500"
"2101"	"SP25605990"	"425600"	"259900"
"2105"	"SP38307280"	"438300"	"272800"
"2109"	"SP52506420"	"452500"	"264200"
"2110"	"SP33808690"	"433800"	"286900"
"2111"	"SP37807280"	"437800"	"272800"
"2113"	"SP52306860"	"452300"	"268600"
"2200"	"SU12700370"	"412700"	"103700"
"2204"	"ST51600710"	"351600"	"107100"
"2205"	"ST98601420"	"398600"	"114200"
"2206"	"ST66700170"	"366700"	"101700"
"2207"	"ST88401870"	"388400"	"118700"
"2210"	"ST75101110"	"375100"	"111100"
"2211"	"ST820223"	"382000"	"122300"
"2213"	"SZ02707700"	"402700"	"77000"
"2214"	"ST77802170"	"377800"	"121700"
"2215"	"SU00201910"	"400200"	"119100"
"2216"	"ST79601330"	"379600"	"113300"
"2217"	"ST84501230"	"384500"	"112300"
"2220"	"SY85509040"	"385500"	"90400"
"2221"	"ST85501060"	"385500"	"110600"
"9001"	"SX48407030"	"248400"	"70300"
"9002"	"SX48407030"	"248400"	"70300"
"2222"	"SY63109670"	"363100"	"96700"
